randomNumber,entryNumber,toolEntry,toolName,Type,simpleComp,Scale,Gender,Age,Society,Subsistence,Reference,social.solitary,Social,risk,Play_vs_use,Play,Multiple.Uses,Toycon,Continent,Latitude,Longitude
1,2397,1,CANOE,Transport,Simple,Mini,Both/Unspecified,EARLY CHILDHOOD,Manus,Hunter-gatherers,"Mead, Margaret, 1901-1978


Growing up in New Guinea: a comparative study of primitive education",social,Social,risky,Play,Play,Single,Not Toycon,Oceania,-2.17,147.17
1002,2373,1,BABY CARRIER (DOLL),Human figure,Comp,Mini,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",solitary,Solitary,safe,Play,Play,Single,Not Toycon,North America,33.86,-110.12
1003,2445,1,DOLL,Human figure,Simple,ChildOnly,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",general plural,NA,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1003,2445,2,FIGURE (ANIMAL),Animal Figure,NA,ChildOnly,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",general plural,NA,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1003,2445,3,CANOE,Transport,NA,Mini,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",general plural,NA,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1003,2445,4,BOW AND ARROW,Weapons,Comp,Mini,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",general plural,NA,risky,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1003,2445,5,BUZZ,Music,Comp,Mini,Both/Unspecified,Unspecified,Ticuna,Primarily Hunter-gatherers,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",general plural,NA,safe,Play,Play,Single,Not Toycon,South America,-3.66,-69.87
1004,310,1,LAMP,Container,Simple,Mini,Both/Unspecified,Unspecified,Copper Inuit,Hunter-gatherers,"Jenness, Diamond, 1886-1969


The material culture of the Copper Eskimos",solitary,Solitary,safe,Use,Use,Single,Not Toycon,North America,68.72,-112.53
1004,310,2,POT,Container,Simple,Mini,Both/Unspecified,Unspecified,Copper Inuit,Hunter-gatherers,"Jenness, Diamond, 1886-1969


The material culture of the Copper Eskimos",solitary,Solitary,safe,Use,Use,Single,Not Toycon,North America,68.72,-112.53
1013,257,1,KAYAK,Transport,Comp,Mini,Boys,ADOLESCENCE,Aleut,Hunter-gatherers,"Laughlin, William S.


Aleuts, survivors of the Bering Land Bridge",solitary,Solitary,risky,Use,Use,Single,Not Toycon,North America,55,-162.85
1015,1367,1,BASKET,Container,NA,AdultVersion,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Roberts, Helen Heffron, 1888-


Basketry of the San Carlos Apache",NA,NA,safe,Use,Use,Single,Not Toycon,North America,33.86,-110.12
1023,2231,1,PIN,Game,Simple,ChildOnly,Both/Unspecified,Unspecified,Ojibwa,Hunter-gatherers,"Kohl, Johann Georg, 1808-1878


Kitchi-Gami: wanderings round Lake Superior",social,Social,safe,Play,Play,Single,Not Toycon,North America,47.33,-91.86
1024,2490,1,SLING,Weapons,Comp,Mini,Boys,Unspecified,Ona,Hunter-gatherers,"Gusinde, Martin, 1886-1969


The Fireland Indians: Vol. 1. The Selk'nam, on the life and thought of a hunting people of the Great Island of Tierra del Fuego",general singular,NA,risky,play and use,Play,Multiple,Not Toycon,South America,-54,-68.5
1025,1482,1,CANOE,Transport,Comp,Mini,Boys,Unspecified,Manus,Hunter-gatherers,"Mead, Margaret, 1901-1978


Growing up in New Guinea: a comparative study of primitive education",NA,NA,risky,Use,Use,Single,Not Toycon,Oceania,-2.17,147.17
1030,892,1,SADDLE,Transport,Comp,Mini,Both/Unspecified,EARLY CHILDHOOD,Blackfoot,Hunter-gatherers,"Hungry Wolf, Adolf, 1944-


The Blood People: a division of the Blackfoot Confederacy : an illustrated interpretation of the old ways",solitary,Solitary,risky,Use,Use,Single,Not Toycon,North America,49.34,-111.21
1030,892,2,STIRRUPS,Transport,Simple,Mini,Both/Unspecified,EARLY CHILDHOOD,Blackfoot,Hunter-gatherers,"Hungry Wolf, Adolf, 1944-


The Blood People: a division of the Blackfoot Confederacy : an illustrated interpretation of the old ways",solitary,Solitary,risky,Use,Use,Single,Not Toycon,North America,49.34,-111.21
1034,2302,1,TOP (WITH WHIP),Game,Comp,ChildOnly,Boys,Unspecified,Blackfoot,Hunter-gatherers,"Mountain Horse, Mike, 1888-1964


My people, the Bloods",social,Social,safe,Play,Play,Single,Not Toycon,North America,49.34,-111.21
104,1011,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Eastern Apache,Hunter-gatherers,"Opler, Morris Edward, 1907-1996


An Apache life-way: the economic, social, and religious institutions of the Chiricahua Indians",general singular,NA,risky,Play,Play,Single,Not Toycon,North America,32,-109.5
1053,2306,1,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Crow,Hunter-gatherers,"Lowie, Robert Harry, 1883-1957


The Crow Indians",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,45.37,-107.87
1069,2379,1,DOLL,Human figure,NA,ChildOnly,Girls,Unspecified,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",social,Social,safe,Play,Play,Single,Not Toycon,North America,33.86,-110.12
1080,2283,1,DART,PhysGame,Simple,ChildOnly,Both/Unspecified,Unspecified,Yuki,Hunter-gatherers,"Gifford, Edward Winslow, 1887-1959


The Coast Yuki",social,Social,safe,Play,Play,Single,Not Toycon,North America,39.64,-123.74
1085,2410,1,BOAT,Transport,Simple,Mini,Boys,Unspecified,Kiribati,Primarily Hunter-gatherers,"Koch, Gerd


The material culture of Kiribati",social,Social,safe,play and toycon,Play,Multiple,Toycon,Oceania,3.38,172.99
1089,2281,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Yuki,Hunter-gatherers,"Foster, George McClelland, 1913-


A summary of Yuki culture",social,Social,risky,Play,Play,Single,Not Toycon,North America,39.64,-123.74
1089,2281,2,GIG,Weapons,Comp,Mini,Boys,Unspecified,Yuki,Hunter-gatherers,"Foster, George McClelland, 1913-


A summary of Yuki culture",social,Social,safe,Play,Play,Single,Not Toycon,North America,39.64,-123.74
1114,966,1,PADDLE,Transport,Simple,Mini,Both/Unspecified,Unspecified,Klamath,Hunter-gatherers,"Pearsall, Marion, 1923-


Klamath childhood and education",social,Social,risky,Play,Play,Single,Not Toycon,North America,42,-121.31
112,2216,1,ROLLING TOY,PhysGame,Comp,ChildOnly,Boys,Unspecified,Kaska,Hunter-gatherers,"Honigmann, John Joseph


Culture and ethos of Kaska society",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,60,-131
112,2216,2,SLEIGH,Transport,NA,Mini,Both/Unspecified,MIDDLE CHILDHOOD,Kaska,Hunter-gatherers,"Honigmann, John Joseph


Culture and ethos of Kaska society",general plural,NA,risky,Play,Play,Single,Not Toycon,North America,60,-131
112,2216,3,SLING (SLINGSHOT),Weapons,Comp,Mini,Boys,MIDDLE CHILDHOOD,Kaska,Hunter-gatherers,"Honigmann, John Joseph


Culture and ethos of Kaska society",general plural,NA,risky,"play, use, toycon",Play,Multiple,Toycon,North America,60,-131
112,2216,4,WEIGHT (HEAVY),PhysGame,NA,ChildOnly,Boys,MIDDLE CHILDHOOD,Kaska,Hunter-gatherers,"Honigmann, John Joseph


Culture and ethos of Kaska society",general plural,NA,safe,Play,Play,Single,Not Toycon,North America,60,-131
112,2216,6,AXE,Instrument,NA,AdultVersion,Boys,EARLY CHILDHOOD,Kaska,Hunter-gatherers,"Honigmann, John Joseph


Culture and ethos of Kaska society",general plural,NA,risky,Use,Use,Single,Not Toycon,North America,60,-131
1129,1713,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Bororo,Hunter-gatherers,"Colbacchini, Antonio, 1881-1960


The eastern Bororo Orarimogodogue of the eastern plateau of Mato Grosso",social,Social,risky,Use,Use,Single,Not Toycon,South America,-16.6,-55.2
115,828,1,TRAP (FISH),Tended facility,Comp,AdultVersion,Boys,Unspecified,Yuki,Hunter-gatherers,"Gifford, Edward Winslow, 1887-1959


The Coast Yuki",social,Social,safe,Use,Use,Single,Not Toycon,North America,39.64,-123.74
116,2251,1,DOLL,Human figure,Simple,ChildOnly,Girls,EARLY CHILDHOOD,Nuu-chah-nulth,Hunter-gatherers,"Drucker, Philip, 1911-1982


The Northern and central Nootkan tribes",general plural,NA,safe,play,Play,Single,Not Toycon,North America,49.67,-126.67
116,2251,2,BOW,Weapons,Comp,Mini,Boys,Unspecified,Nuu-chah-nulth,Hunter-gatherers,"Drucker, Philip, 1911-1982


The Northern and central Nootkan tribes",general plural,NA,risky,Play,Play,Single,Not Toycon,North America,49.67,-126.67
116,2251,3,HARPOON,Weapons,Comp,Mini,Boys,Unspecified,Nuu-chah-nulth,Hunter-gatherers,"Drucker, Philip, 1911-1982


The Northern and central Nootkan tribes",general plural,NA,risky,play,Play,Single,Not Toycon,North America,49.67,-126.67
116,2251,4,CANOE,Transport,NA,Mini,Boys,Unspecified,Nuu-chah-nulth,Hunter-gatherers,"Drucker, Philip, 1911-1982


The Northern and central Nootkan tribes",general plural,NA,safe,play,Play,Single,Not Toycon,North America,49.67,-126.67
116,2251,5,TRAP,Untended facility,Comp,Mini,Boys,Unspecified,Nuu-chah-nulth,Hunter-gatherers,"Drucker, Philip, 1911-1982


The Northern and central Nootkan tribes",social,Social,safe,play,Play,Single,Not Toycon,North America,49.67,-126.67
1160,888,1,HOUSE (TIPI),Shelter,Comp,Mini,Both/Unspecified,Unspecified,Blackfoot,Hunter-gatherers,"Hungry Wolf, Adolf, 1944-


The Blood People: a division of the Blackfoot Confederacy : an illustrated interpretation of the old ways",social,Social,safe,Play,Play,Single,Not Toycon,North America,49.34,-111.21
1165,661,1,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Pomo,Hunter-gatherers,"Barrett, S. A. (Samuel Alfred), 1879-1965


Material aspects of Pomo culture",social,Social,safe,toycon,Use,Single,Toycon,North America,39.11,-123.21
1165,661,2,BASKET,Container,Simple,Mini,Girls,Unspecified,Pomo,Hunter-gatherers,"Barrett, S. A. (Samuel Alfred), 1879-1965


Material aspects of Pomo culture",social,Social,safe,toycon,Use,Single,Toycon,North America,39.11,-123.21
1166,2372,1,DOLL,Human figure,NA,ChildOnly,Girls,EARLY CHILDHOOD,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",solitary,Solitary,safe,Play,Play,Single,Not Toycon,North America,33.86,-110.12
1167,2389,1,DOLL,Human figure,Simple,ChildOnly,Both/Unspecified,Unspecified,Aranda,Hunter-gatherers,"Basedow, Herbert, 1881-


The Australian aboriginal",general singular,NA,safe,Play,Play,Single,Not Toycon,Oceania,-24.25,133.5
1174,224,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,MIDDLE CHILDHOOD,Vedda,Hunter-gatherers,"Seligman, C. G. (Charles Gabriel), 1873-1940


The Veddas",general plural,NA,risky,play and use,Play,Multiple,Not Toycon,Asia,7.75,81.25
1174,224,2,PELLET BOW,Weapons,Comp,Mini,Boys,Unspecified,Vedda,Hunter-gatherers,"Seligman, C. G. (Charles Gabriel), 1873-1940


The Veddas",general plural,NA,risky,Use,Use,Single,Not Toycon,Asia,7.75,81.25
1177,2330,1,TOP,Game,Simple,ChildOnly,Both/Unspecified,EARLY CHILDHOOD,Klamath,Hunter-gatherers,"Pearsall, Marion, 1923-


Klamath childhood and education",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,42,-121.31
119,746,1,DOLL,Human figure,Simple,ChildOnly,Girls,Unspecified,Tubatulabal,Hunter-gatherers,"Voegelin, Mrs. Erminie Wheeler, 1903-


Tübatulabal ethnography",NA,NA,safe,toycon,Use,Single,Toycon,North America,35.33,-117.16
119,746,2,FIGURE (ANIMAL),Animal Figure,Simple,ChildOnly,Both/Unspecified,Unspecified,Tubatulabal,Hunter-gatherers,"Voegelin, Mrs. Erminie Wheeler, 1903-


Tübatulabal ethnography",NA,NA,safe,toycon,Use,Single,Toycon,North America,35.33,-117.16
119,746,3,POT,Container,Simple,AdultVersion,Boys,Unspecified,Tubatulabal,Hunter-gatherers,"Voegelin, Mrs. Erminie Wheeler, 1903-


Tübatulabal ethnography",NA,NA,safe,Use,Use,Single,Not Toycon,North America,35.33,-117.16
1198,2307,1,TOP (WITH WHIP),Game,Comp,ChildOnly,Both/Unspecified,Unspecified,Crow,Hunter-gatherers,"Lowie, Robert Harry, 1883-1957


The Crow Indians",social,Social,safe,Play,Play,Single,Not Toycon,North America,45.37,-107.87
1203,2116,1,LASSO,Game,Comp,ChildOnly,Boys,Unspecified,Copper Inuit,Hunter-gatherers,"De Coccola, Raymond, 1912-


The incredible Eskimo: life among the barren land Eskimo",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,68.72,-112.53
1204,2333,1,TOP,Game,Comp,ChildOnly,Boys,Unspecified,Omaha,Primarily Hunter-gatherers,"Fletcher, Alice C. (Alice Cunningham), 1838-1923


The Omaha tribe",general plural,NA,safe,play and toycon,Play,Multiple,Toycon,North America,41.43,-96.5
1206,1488,1,CANOE,Transport,NA,Mini,Both/Unspecified,EARLY CHILDHOOD,Manus,Hunter-gatherers,"Mead, Margaret, 1901-1978


Growing up in New Guinea: a comparative study of primitive education",NA,NA,risky,NA,NA,NA,NA,Oceania,-2.17,147.17
121,2503,2,STUFFED SKIN,Animal Figure,Comp,ChildOnly,Girls,Unspecified,Yahgan,Hunter-gatherers,"Gusinde, Martin, 1886-1969


The Yahgan: the life and thought of the water nomads of Cape Horn",solitary,Solitary,safe,play and toycon,Play,Multiple,Toycon,South America,-55.5,-69.5
1214,2472,1,PELLET BOW,Weapons,Comp,Mini,Boys,Unspecified,Enxet and Enlhet,Hunter-gatherers,"Hawtrey, S. H. C.


The Lengua Indians of the Paraguayan Chaco",general plural,NA,risky,NA,NA,NA,NA,South America,-23.22,-58.8
1214,2472,2,SLING BOW,Weapons,Comp,Mini,Boys,Unspecified,Enxet and Enlhet,Hunter-gatherers,"Hawtrey, S. H. C.


The Lengua Indians of the Paraguayan Chaco",general plural,NA,risky,NA,NA,NA,NA,South America,-23.22,-58.8
1219,1310,1,SADDLE,Transport,NA,AdultVersion,Both/Unspecified,MIDDLE CHILDHOOD,Western Apache,Primarily Hunter-gatherers,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",solitary,Solitary,risky,Play,Play,Single,Not Toycon,North America,33.86,-110.12
1225,2386,1,HOUSE (SHELTER),Shelter,Simple,Mini,Both/Unspecified,Unspecified,Aranda,Hunter-gatherers,"Basedow, Herbert, 1881-


The Australian aboriginal",social,Social,safe,play and toycon,Play,Multiple,Toycon,Oceania,-24.25,133.5
1229,2074,1,BOW AND ARROW,Weapons,Comp,Mini,Both/Unspecified,Unspecified,San,Hunter-gatherers,"Fourie, Louis, 1878-


The Bushmen of South West Africa",social,Social,risky,Play,Play,Single,Not Toycon,Africa,-19.83,20.58
1237,2500,1,SLING,Weapons,Comp,Mini,Boys,Unspecified,Yahgan,Hunter-gatherers,"Gusinde, Martin, 1886-1969


The Yahgan: the life and thought of the water nomads of Cape Horn",solitary,Solitary,risky,play and use,Play,Multiple,Not Toycon,South America,-55.5,-69.5
1239,2424,1,STILTS,PhysGame,Simple,ChildOnly,Both/Unspecified,Unspecified,Maori,Primarily Hunter-gatherers,"Buck, Peter Henry, 1880-1951


The coming of the Maori",social,Social,risky,Play,Play,Single,Not Toycon,Oceania,-35.33,174.17
125,2464,1,BOAT,Transport,NA,Mini,Both/Unspecified,EARLY CHILDHOOD,Karajá,Primarily Hunter-gatherers,"Krause, Fritz,1881-1963


In the wilderness of Brazil: report and results of the Leipzig Araguaia Expedition of 1908",NA,NA,safe,Play,Play,Single,Not Toycon,South America,-11.19,-50.35
125,2464,2,GUN,Weapons,NA,Mini,Both/Unspecified,EARLY CHILDHOOD,Karajá,Primarily Hunter-gatherers,"Krause, Fritz,1881-1963


In the wilderness of Brazil: report and results of the Leipzig Araguaia Expedition of 1908",NA,NA,safe,Play,Play,Single,Not Toycon,South America,-11.19,-50.35
125,2464,3,TOP,Game,NA,ChildOnly,Both/Unspecified,EARLY CHILDHOOD,Karajá,Primarily Hunter-gatherers,"Krause, Fritz,1881-1963


In the wilderness of Brazil: report and results of the Leipzig Araguaia Expedition of 1908",NA,NA,safe,Play,Play,Single,Not Toycon,South America,-11.19,-50.35
125,2464,4,DOLL,Human figure,Simple,ChildOnly,Both/Unspecified,EARLY CHILDHOOD,Karajá,Primarily Hunter-gatherers,"Krause, Fritz,1881-1963


In the wilderness of Brazil: report and results of the Leipzig Araguaia Expedition of 1908",NA,NA,safe,Play,Play,Single,Not Toycon,South America,-11.19,-50.35
125,2464,5,BALL,PhysGame,NA,ChildOnly,Both/Unspecified,EARLY CHILDHOOD,Karajá,Primarily Hunter-gatherers,"Krause, Fritz,1881-1963


In the wilderness of Brazil: report and results of the Leipzig Araguaia Expedition of 1908",NA,NA,safe,Play,Play,Single,Not Toycon,South America,-11.19,-50.35
1256,931,1,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Blackfoot,Hunter-gatherers,"Mountain Horse, Mike, 1888-1964


My people, the Bloods",solitary,Solitary,risky,Play,Play,Single,Not Toycon,North America,49.34,-111.21
1270,713,1,PACK,Container,NA,Mini,Boys,EARLY CHILDHOOD,Tlingit,Hunter-gatherers,"Emmons, George Thornton.


The Tlingit Indians",solitary,Solitary,safe,Use,Use,Single,Not Toycon,North America,57,-133.59
1273,2292,1,FIGURE (HORSE),Animal Figure,Comp,ChildOnly,Boys,MIDDLE CHILDHOOD,Blackfoot,Hunter-gatherers,"Ewers, John Canfield


The horse in Blackfoot Indian culture, with comparative material from other western tribes",social,Social,safe,play and toycon,Play,Multiple,Toycon,North America,49.34,-111.21
1277,2195,1,BUZZ,Music,Comp,ChildOnly,Both/Unspecified,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",general singular,NA,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1277,2195,2,BULL ROARER,Music,Comp,ChildOnly,Both/Unspecified,Unspecified,Ingalik,Hunter-gatherers,"Osgood, Cornelius, 1905-1985


Ingalik social culture",general singular,NA,safe,Play,Play,Single,Not Toycon,North America,62.5,-159.5
1284,2102,1,FIGURE (DOG),Animal Figure,Simple,ChildOnly,Both/Unspecified,Unspecified,Nivkh,Primarily Hunter-gatherers,"Shrenk, Leopol'd Ivanovich, 1826-1894


The peoples of the Amur region",social,Social,safe,Play,Play,Single,Not Toycon,Asia,53,142
1284,2102,2,FIGURE (CARP),Animal Figure,NA,ChildOnly,Both/Unspecified,Unspecified,Nivkh,Primarily Hunter-gatherers,"Shrenk, Leopol'd Ivanovich, 1826-1894


The peoples of the Amur region",social,Social,safe,Play,Play,Single,Not Toycon,Asia,53,142
1284,2102,3,BOW AND ARROW,Weapons,Comp,Mini,Boys,Unspecified,Nivkh,Primarily Hunter-gatherers,"Shrenk, Leopol'd Ivanovich, 1826-1894


The peoples of the Amur region",social,Social,risky,Play,Play,Single,Not Toycon,Asia,53,142
1284,2102,4,SLED,Transport,Comp,Mini,Boys,Unspecified,Nivkh,Primarily Hunter-gatherers,"Shrenk, Leopol'd Ivanovich, 1826-1894


The peoples of the Amur region",social,Social,risky,Use,Use,Single,Not Toycon,Asia,53,142
1286,1470,1,BOAT,Transport,NA,Mini,Both/Unspecified,Unspecified,Manus,Hunter-gatherers,"Mead, Margaret, 1901-1978


Growing up in New Guinea: a comparative study of primitive education",social,Social,safe,Play,Play,Single,Not Toycon,Oceania,-2.17,147.17
1286,1470,2,CANOE,Transport,NA,Mini,Both/Unspecified,Unspecified,Manus,Hunter-gatherers,"Mead, Margaret, 1901-1978


Growing up in New Guinea: a comparative study of primitive education",social,Social,risky,Play,Play,Single,Not Toycon,Oceania,-2.17,147.17
1295,2067,1,SWING,PhysGame,Simple,ChildOnly,Both/Unspecified,Unspecified,Mbuti,Hunter-gatherers,"Turnbull, Colin M.


Wayward servants: the two worlds of the African Pygmies",social,Social,risky,Play,Play,Single,Not Toycon,Africa,0.076388889,28.33
