randomNumber,entryNumber,toolEntry,Society,Reference,toolName,Type,simpleComp,PresLikelihood,Scale,materialDescribed,materialMetal,materialPlant,materialStone,materialBone,materialAntler,materialOther,materialOther_detail,learn,Process,Mode,Gender,childAge_coded,manufacturerAge,manufacturerSex,manufacturerKin,Continent,Subsistence,Paragraph,Image,Image_Caption,permalink,Latitude,Longitude,Date,Pages,Play,Multiple.Uses
1,2397,1,Manus,"Mead, Margaret, 1901-1978


Growing up in New Guinea: a comparative study of primitive education",CANOE,Transport,Simple,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,YES,HORIZONTAL,COLLABORATIVE LEARNING PLAY,Unknown,YOUNG,NA,NA,NA,Oceania,Hunter-gatherers,"Swimming is not taught: the small waders imitate their slightly older brothers and sisters, and after floundering about in waist-deep water begin to strike out for themselves. Sure-footedness on land and swimming come almost together, so that the charm which is recited over a newly delivered woman says, “May you not have another child until this one can walk and swim.” As soon as the children can swim a little, in a rough and tumble overhand stroke which has no style but great speed, they are given small canoes of their own. These little canoes are five or six feet long, most of them without outriggers, mere hollow troughs, difficult to steer and easy to upset. In the company of children a year or so older, the young initiates play all day in shallow water, paddling, punting, racing, making tandems of their small craft, upsetting their canoes, bailing them out again, shrieking with delight and high spirits. The hottest sun does not drive them indoors; the fiercest rain only changes the appearance of their playground into a new and strange delight. Over half their waking hours are spent in the water, joyously learning to be at home in their water world.",NA,NA,https://ehrafworldcultures.yale.edu/sres/dffa3951-6d51-4167-834e-50b0ba85a0a8,-2.17,147.17,1930,2626,Play,Single
1002,2373,1,Western Apache,"Goodwin, Grenville, 1907-1940


The social organization of the Western Apache",BABY CARRIER (DOLL),Human figure,Comp,Low,Mini,YES,NO,NO,NO,NO,NO,YES,SILK,NA,NA,NA,Girls,NA,NA,NA,NA,North America,Primarily Hunter-gatherers,"A little girl of seven, playing outside the dwelling with a small black puppy, disappeared and soon returned bearing her toy baby-carrier with a silk handkerchief draped over it. Walking into the room where her mother and maternal grandparents were sitting, she placed the baby-carrier on the bed and, pulling back the handkerchief, showed the black puppy laced up in the carrier, fast asleep. Everyone laughed because the puppy looked so cunning. The little girl was delighted with him.",NA,NA,https://ehrafworldcultures.yale.edu/sres/dffa3951-6d51-4167-834e-50b0ba85a0a8,33.86,-110.12,1942,5580,Play,Single
1003,2445,1,Ticuna,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",DOLL,Human figure,Simple,Low,ChildOnly,YES,NO,YES,NO,NO,NO,NO,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,South America,Primarily Hunter-gatherers,"More than among other tribes, Tucuna children receive corporal punishment, especially with the external application of nettle flowers that are grown for this purpose at the edge of the yard. They play with dolls carved of muirapiranga, figures of animals, little canoes, small bows and arrows, and buzz-disks of gourd shells.",NA,NA,https://ehrafworldcultures.yale.edu/sres/7babe09d-7e8b-4142-b54d-7e52b949aaee,-3.66,-69.87,1948,247,Play,Single
1003,2445,2,Ticuna,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",FIGURE (ANIMAL),Animal Figure,NA,NA,ChildOnly,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,South America,Primarily Hunter-gatherers,"More than among other tribes, Tucuna children receive corporal punishment, especially with the external application of nettle flowers that are grown for this purpose at the edge of the yard. They play with dolls carved of muirapiranga, figures of animals, little canoes, small bows and arrows, and buzz-disks of gourd shells.",NA,NA,https://ehrafworldcultures.yale.edu/sres/7babe09d-7e8b-4142-b54d-7e52b949aaee,-3.66,-69.87,1948,247,Play,Single
1003,2445,3,Ticuna,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",CANOE,Transport,NA,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,South America,Primarily Hunter-gatherers,"More than among other tribes, Tucuna children receive corporal punishment, especially with the external application of nettle flowers that are grown for this purpose at the edge of the yard. They play with dolls carved of muirapiranga, figures of animals, little canoes, small bows and arrows, and buzz-disks of gourd shells.",NA,NA,https://ehrafworldcultures.yale.edu/sres/7babe09d-7e8b-4142-b54d-7e52b949aaee,-3.66,-69.87,1948,247,Play,Single
1003,2445,4,Ticuna,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",BOW AND ARROW,Weapons,Comp,NA,Mini,NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,South America,Primarily Hunter-gatherers,"More than among other tribes, Tucuna children receive corporal punishment, especially with the external application of nettle flowers that are grown for this purpose at the edge of the yard. They play with dolls carved of muirapiranga, figures of animals, little canoes, small bows and arrows, and buzz-disks of gourd shells.",NA,NA,https://ehrafworldcultures.yale.edu/sres/7babe09d-7e8b-4142-b54d-7e52b949aaee,-3.66,-69.87,1948,247,Play,Single
1003,2445,5,Ticuna,"Nimuendajú, Curt


The Tucuna: habitat, history, and language",BUZZ,Music,Comp,Low,Mini,YES,NO,YES,NO,NO,NO,YES,STRING,NA,NA,NA,Unknown,NA,NA,NA,NA,South America,Primarily Hunter-gatherers,"More than among other tribes, Tucuna children receive corporal punishment, especially with the external application of nettle flowers that are grown for this purpose at the edge of the yard. They play with dolls carved of muirapiranga, figures of animals, little canoes, small bows and arrows, and buzz-disks of gourd shells.",NA,NA,https://ehrafworldcultures.yale.edu/sres/7babe09d-7e8b-4142-b54d-7e52b949aaee,-3.66,-69.87,1948,247,Play,Single
1004,310,1,Copper Inuit,"Jenness, Diamond, 1886-1969


The material culture of the Copper Eskimos",LAMP,Container,Simple,High,Mini,YES,NO,NO,YES,NO,NO,NO,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,North America,Hunter-gatherers,"Women and children often fashioned the smaller lamps and pots. The larger ones were the work of the men, although once they were finished and handed over to the housewife they became her exclusive property. No special skill was required; children 10 years of age could make small lamps just as good as those made by their elders. A little more care was necessary in working at a pot, because the rock, though soft, was somewhat brittle, and the walls and bottom had to be comparatively thin; but even this was not beyond the ability of a child, as it required patience rather than technical skill. With his crude copper tools a native could quarry out his block and make the largest lamp that was ever used in about 3 days, and the largest pot in no more than a day longer; iron tools, of course, appreciably lessened the time. First, he chiselled [Page 60] clear of the solid rock a block equal to the length of the desired lamp or pot, then gradually hewed it into shape and smoothed it all over by rubbing it with any kind of hard, smooth stone. Formerly the copper-bladed ice chisel served for quarrying the block, and the copper-headed adze for shaping it, but in more recent times the Eskimo have used hatchets, geological hammers, and chisels with iron blades.",NA,NA,https://ehrafworldcultures.yale.edu/sres/ecf8f1db-c3ad-4f56-b3a4-43707279bc86,68.72,-112.53,1946,3113,Use,Single
1004,310,2,Copper Inuit,"Jenness, Diamond, 1886-1969


The material culture of the Copper Eskimos",POT,Container,Simple,High,Mini,YES,NO,NO,YES,NO,NO,NO,NA,NA,NA,NA,Unknown,NA,NA,NA,NA,North America,Hunter-gatherers,"Women and children often fashioned the smaller lamps and pots. The larger ones were the work of the men, although once they were finished and handed over to the housewife they became her exclusive property. No special skill was required; children 10 years of age could make small lamps just as good as those made by their elders. A little more care was necessary in working at a pot, because the rock, though soft, was somewhat brittle, and the walls and bottom had to be comparatively thin; but even this was not beyond the ability of a child, as it required patience rather than technical skill. With his crude copper tools a native could quarry out his block and make the largest lamp that was ever used in about 3 days, and the largest pot in no more than a day longer; iron tools, of course, appreciably lessened the time. First, he chiselled [Page 60] clear of the solid rock a block equal to the length of the desired lamp or pot, then gradually hewed it into shape and smoothed it all over by rubbing it with any kind of hard, smooth stone. Formerly the copper-bladed ice chisel served for quarrying the block, and the copper-headed adze for shaping it, but in more recent times the Eskimo have used hatchets, geological hammers, and chisels with iron blades.",NA,NA,https://ehrafworldcultures.yale.edu/sres/ecf8f1db-c3ad-4f56-b3a4-43707279bc86,68.72,-112.53,1946,3113,Use,Single
1013,257,1,Aleut,"Laughlin, William S.


Aleuts, survivors of the Bering Land Bridge",KAYAK,Transport,Comp,NA,Mini,NO,NA,YES,NA,NA,NA,YES,SKINS,NA,NA,NA,Boys,ADOLESCENCE,NA,NA,NA,North America,Hunter-gatherers,"At age 13 or 14, the boy began to hunt with his uncles or father. Between age 16 and 19, the boy had his own baidarka (kayak) and might undertake trips on his own. By then he was also capable of making his own boat frame and of persuading [Page 31] some women to sew skins for him. A young man capable of persuading three or four women to sew for him was obviously prepared to cope with sea lions and whales.",NA,NA,https://ehrafworldcultures.yale.edu/sres/0155393a-6aa6-46d4-a271-817ace76046d,55,-162.85,1980,3980,Use,Single
